id,name,city,reg,customer
47370-257954,"Meritxell, 96",Andorra la Vella,AD,Derek Bender
22126-218024,Twofour 54,Abu Dhabi,AE,Tony Rink
17127-178586,Al Ain Tower,Abu Dhabi,AE,Jesse Barrios
18182-182165,"Dalma Mall, Level 1",Abu Dhabi,AE,Zoila Cooper
23359-229184,Debenhams Yas Mall,Abu Dhabi,AE,Ricky Schultz
30781-99022,Khalidiya Street,Abu Dhabi,AE,Michael Segal
20423-205465,Eastern Mangroves,Abu Dhabi,AE,Gladys Denmon
20424-205466,Nation Towers,Abu Dhabi,AE,Kevin Cole
1579-122101,HCT Abu Dhabi Women's College Block,Abu Dhabi,AE,Brian Pisano
32595-122105,Standard Chartered Building,Abu Dhabi,AE,Christopher Segura
24191-236428,International Tower,Abu Dhabi,AE,Tasha Febus
24604-238367,Yas Mall 3,Abu Dhabi,AE,William Vela
32029-110804,Blue Tower A,Abu Dhabi,AE,Ann Porter
29560-238539,Corniche Park DT,Abu Dhabi,AE,Holly Vincent
32239-100001,Khalidiya Mall,Abu Dhabi,AE,Terry Gates
31719-103601,Al Wahda Mall,Abu Dhabi,AE,David Walker
20008-200004,Al Seef Village,Abu Dhabi,AE,John Gonsalez
32767-131566,Shangri-La Souq,Abu Dhabi,AE,Angele Smith
3886-141408,"Abu Dhabi University, Men's",Abu Dhabi,AE,Alfredo Turner
29539-254261,MUshrif Mall 1,Abu Dhabi,AE,Rose Thomas
28809-251348,Boutik Mall Sun & Sky,Abu Dhabi,AE,Mitchell Britt
34262-62540,Marina Mall,Abu Dhabi,AE,Danny Ferguson
3178-141407,"Abu Dhabi University, Women's",Abu Dhabi,AE,Robert Lee
34260-17877,Hamdan Street,Abu Dhabi,AE,Patricia Nicholson
21605-213406,Saadiyat Island,Abu Dhabi,AE,Raul Harris
1935-141406,Camellia Flowers,Abu Dhabi,AE,Lindsey Barnes
20113-195784,Deerfields,Abu Dhabi,AE,Daniel Etheridge
34227-33225,Abu Dhabi Mall,Abu Dhabi,AE,Daniel Gonzalez
17361-180588,Zayed University,Abu Dhabi,AE,Robert Parker
15938-165686,Bawabat Al Sharq,Abu Dhabi,AE,John Sharp
16453-170544,Guardian Tower,Abu Dhabi,AE,Julio Puentes
24085-235545,Ferrari World Welcome Pavilion,Abu Dhabi,AE,Andrea Gullion
24932-239347,Al Mamoura,Abu Dhabi,AE,Vivian Bieber
18469-188844,Ministry of Interior,Abu Dhabi,AE,Charles Stahl
28810-251346,ADNOC Mushrif,Abu Dhabi,AE,Laura White
1897-120044,Twin Towers 13th Street,Abu Dhabi,AE,Holly Vincent
20772-207664,Al Falah Community,Abu Dhabi,AE,Richard Sydow
2176-143834,Abu Dhabi Police HQ,Abu Dhabi,AE,Ardis Cleek
18530-169885,Western Region,Abu Dhabi,AE,Robert York
24931-239348,Raha Garden,Abu Dhabi,AE,Apolonia Danley
29306-253248,Al Ain Ladies Club,Al Ain,AE,Ted Carrell
17291-169884,Jahli Park,Al Ain,AE,Joanne Ruddock
32640-131563,Tawam Hospital,Al Ain,AE,Karla Boyd
34332-97778,Jimmy Mall,Al Ain,AE,Jason Curry
16257-166109,Al Ain Mall,Al Ain,AE,Marc Nelson
1926-141411,Bawadi Mall,Al Ain,AE,Erich Basham
24510-238164,Wahat Hili Mall,Al Ain,AE,Paul Hohlstein
17788-183965,Oasis Hospital,Al Ain,AE,Angela Peak
22963-226644,YAS Mall,Abu Dhabi,AE,Patti Russell
23197-228761,Al Ruwais Mall,Abu Dhabi,AE,Sabrina Bouwkamp
23549-231166,Shamkha Mall,Abu Dhabi,AE,Linda Lentz
15060-156348,Al Barsha Commercial,Al Barsha,AE,Regena Lamanna
34291-80114,Umm Sequeim,Dubai,AE,Douglas Clark
27072-246650,Reel Cinema,Dubai,AE,Agustin Burr
18751-188904,Dubai Airport Concourse 3,Dubai,AE,Juan Renwick
18857-187024,City Walk - Dubai,Dubai,AE,Antonia Thompson
28908-251804,DIFC 2,Dubai,AE,Frank Lazarine
32250-107405,The Residence Tower 1,Dubai,AE,Myron Crum
34211-17922,Emirates Tower,Dubai,AE,Douglas Clark
34315-87671,Dubai Marina,Dubai,AE,Tara Hemmen
