Country,subset,question_label,answer,name
Austria,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Eugene Mack
Austria,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Andrew Ketcher
Austria,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Lester Landry
Austria,Lesbian,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Terry Gates
Austria,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Joan Starrett
Austria,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Virginia Ludwig
Austria,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Ann Hendrix
Austria,Gay,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,John Hayes
Austria,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,William Muscarella
Austria,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Richard Walker
Austria,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Johnny Harlow
Austria,Bisexual women,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Don`t know,Joanne Ruddock
Austria,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",Yes,Brett Green
Austria,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",No,Charles Pratt
Austria,Bisexual men,"Do you avoid holding hands in public with a same-sex partner for fear of being assaulted, threatened of harassed?",I do not have a same-sex partner,Wilbur Berry
